compute004
5
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
Box(1, 60, 50)
Box(1, 60, 50)
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/gym/envs/registration.py:14: PkgResourcesDeprecationWarning: Parameters to load are deprecated.  Call .resolve and .require separately.
  result = entry_point.load(False)
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
Box(1, 60, 50)
Worker ID: 0 | Episode :249 | Average episode reward : 1780.000 | Average episode length: 825.0
Worker ID: 0 | Episode :250 | Average episode reward : 160.000 | Average episode length: 610.0
Worker ID: 0 | Episode :251 | Average episode reward : 450.000 | Average episode length: 586.0
Worker ID: 0 | Episode :252 | Average episode reward : 210.000 | Average episode length: 497.0
Worker ID: 0 | Episode :253 | Average episode reward : 850.000 | Average episode length: 796.0
Worker ID: 0 | Episode :254 | Average episode reward : 210.000 | Average episode length: 586.0
Worker ID: 0 | Episode :255 | Average episode reward : 530.000 | Average episode length: 919.0
Worker ID: 0 | Episode :256 | Average episode reward : 410.000 | Average episode length: 733.0
Worker ID: 0 | Episode :257 | Average episode reward : 250.000 | Average episode length: 898.0
Worker ID: 0 | Episode :258 | Average episode reward : 270.000 | Average episode length: 534.0
Worker ID: 0 | Episode :259 | Average episode reward : 420.000 | Average episode length: 560.0
Worker ID: 0 | Episode :260 | Average episode reward : 930.000 | Average episode length: 754.0
Worker ID: 0 | Episode :261 | Average episode reward : 160.000 | Average episode length: 1104.0
Worker ID: 0 | Episode :262 | Average episode reward : 420.000 | Average episode length: 741.0
Worker ID: 0 | Episode :263 | Average episode reward : 150.000 | Average episode length: 678.0
Worker ID: 0 | Episode :264 | Average episode reward : 210.000 | Average episode length: 671.0
Worker ID: 0 | Episode :265 | Average episode reward : 850.000 | Average episode length: 726.0
Worker ID: 0 | Episode :266 | Average episode reward : 450.000 | Average episode length: 898.0
Worker ID: 0 | Episode :267 | Average episode reward : 160.000 | Average episode length: 714.0
Worker ID: 0 | Episode :268 | Average episode reward : 320.000 | Average episode length: 594.0
Worker ID: 0 | Episode :269 | Average episode reward : 70.000 | Average episode length: 432.0
Worker ID: 0 | Episode :270 | Average episode reward : 260.000 | Average episode length: 923.0
Worker ID: 0 | Episode :271 | Average episode reward : 330.000 | Average episode length: 600.0
Worker ID: 0 | Episode :272 | Average episode reward : 570.000 | Average episode length: 792.0
Worker ID: 0 | Episode :273 | Average episode reward : 250.000 | Average episode length: 655.0
Worker ID: 0 | Episode :274 | Average episode reward : 300.000 | Average episode length: 755.0
Worker ID: 0 | Episode :275 | Average episode reward : 210.000 | Average episode length: 649.0
Worker ID: 0 | Episode :276 | Average episode reward : 90.000 | Average episode length: 621.0
Worker ID: 0 | Episode :277 | Average episode reward : 210.000 | Average episode length: 689.0
Worker ID: 0 | Episode :278 | Average episode reward : 350.000 | Average episode length: 476.0
Worker ID: 0 | Episode :279 | Average episode reward : 340.000 | Average episode length: 916.0
Worker ID: 0 | Episode :280 | Average episode reward : 210.000 | Average episode length: 551.0
Worker ID: 0 | Episode :281 | Average episode reward : 240.000 | Average episode length: 762.0
Worker ID: 0 | Episode :282 | Average episode reward : 260.000 | Average episode length: 649.0
Worker ID: 0 | Episode :283 | Average episode reward : 530.000 | Average episode length: 748.0
Worker ID: 0 | Episode :284 | Average episode reward : 90.000 | Average episode length: 608.0
Worker ID: 0 | Episode :285 | Average episode reward : 340.000 | Average episode length: 549.0
Worker ID: 0 | Episode :286 | Average episode reward : 60.000 | Average episode length: 619.0
Worker ID: 0 | Episode :287 | Average episode reward : 460.000 | Average episode length: 697.0
Worker ID: 0 | Episode :288 | Average episode reward : 380.000 | Average episode length: 957.0
Worker ID: 0 | Episode :289 | Average episode reward : 310.000 | Average episode length: 664.0
Worker ID: 0 | Episode :290 | Average episode reward : 450.000 | Average episode length: 862.0
Worker ID: 0 | Episode :291 | Average episode reward : 70.000 | Average episode length: 540.0
Worker ID: 0 | Episode :292 | Average episode reward : 440.000 | Average episode length: 799.0
