compute005
0
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
(1, 60, 50) 3
Box(1, 60, 50)
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/gym/envs/registration.py:14: PkgResourcesDeprecationWarning: Parameters to load are deprecated.  Call .resolve and .require separately.
  result = entry_point.load(False)
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
Worker ID: 0 | Episode :284 | Average episode reward : 0.000 | Episode length: 2724.0
Worker ID: 0 | Episode :285 | Average episode reward : 0.000 | Episode length: 2739.0
Worker ID: 0 | Episode :286 | Average episode reward : 0.000 | Episode length: 2749.0
Worker ID: 0 | Episode :287 | Average episode reward : 0.000 | Episode length: 2731.0
Worker ID: 0 | Episode :288 | Average episode reward : 0.000 | Episode length: 2721.0
Worker ID: 0 | Episode :289 | Average episode reward : 0.000 | Episode length: 2722.0
Worker ID: 0 | Episode :290 | Average episode reward : 0.000 | Episode length: 2726.0
Worker ID: 0 | Episode :291 | Average episode reward : 0.000 | Episode length: 2739.0
Worker ID: 0 | Episode :292 | Average episode reward : 0.000 | Episode length: 2731.0
Worker ID: 0 | Episode :293 | Average episode reward : 0.000 | Episode length: 2743.0
Worker ID: 0 | Episode :294 | Average episode reward : 0.000 | Episode length: 2710.0
Worker ID: 0 | Episode :295 | Average episode reward : 0.000 | Episode length: 2699.0
Worker ID: 0 | Episode :296 | Average episode reward : 0.000 | Episode length: 2730.0
Worker ID: 0 | Episode :297 | Average episode reward : 0.000 | Episode length: 2729.0
Worker ID: 0 | Episode :298 | Average episode reward : 0.000 | Episode length: 2734.0
Worker ID: 0 | Episode :299 | Average episode reward : 0.000 | Episode length: 2730.0
Worker ID: 0 | Episode :300 | Average episode reward : 0.000 | Episode length: 2756.0
Worker ID: 0 | Episode :301 | Average episode reward : 0.000 | Episode length: 2752.0
Worker ID: 0 | Episode :302 | Average episode reward : 0.000 | Episode length: 2719.0
Worker ID: 0 | Episode :303 | Average episode reward : 0.000 | Episode length: 2735.0
Worker ID: 0 | Episode :304 | Average episode reward : 0.000 | Episode length: 2711.0
Worker ID: 0 | Episode :305 | Average episode reward : 0.000 | Episode length: 2738.0
Worker ID: 0 | Episode :306 | Average episode reward : 0.000 | Episode length: 2707.0
